iter	Passed	Remaining
894	2854	334
895	2856	331
896	2859	328
897	2861	325
898	2864	321
899	2866	318
900	2869	315
901	2887	313
902	2890	310
903	2893	307
904	2895	303
905	2897	300
906	2900	297
907	2902	294
908	2905	290
909	2907	287
910	2910	284
911	2913	281
912	2915	277
913	2918	274
914	2920	271
915	2923	268
916	2925	264
917	2928	261
918	2931	258
919	2934	255
920	2946	252
921	2954	249
922	2957	246
923	2960	243
924	2962	240
925	2965	236
926	2967	233
927	2970	230
928	2973	227
929	2976	224
930	2978	220
931	2981	217
932	2984	214
933	2986	211
934	2988	207
935	2991	204
936	2993	201
937	2996	198
938	2998	194
939	3016	192
940	3018	189
941	3021	186
942	3023	182
943	3025	179
944	3028	176
945	3030	173
946	3033	169
947	3035	166
948	3038	163
949	3040	160
950	3043	156
951	3046	153
952	3048	150
953	3050	147
954	3053	143
955	3055	140
956	3058	137
957	3060	134
958	3063	130
959	3065	127
960	3067	124
961	3070	121
962	3072	118
963	3075	114
964	3078	111
965	3080	108
966	3082	105
967	3085	101
968	3087	98
969	3090	95
970	3092	92
971	3095	89
972	3097	85
973	3100	82
974	3103	79
975	3105	76
976	3108	73
977	3110	69
978	3113	66
979	3116	63
980	3118	60
981	3121	57
982	3124	54
983	3126	50
984	3129	47
985	3131	44
986	3134	41
987	3137	38
988	3139	34
989	3142	31
990	3144	28
991	3146	25
992	3149	22
993	3151	19
994	3153	15
995	3156	12
996	3158	9
997	3160	6
998	3163	3
999	3165	0
